設立別,學程別,群科別,畢業生人數,公立大學日間部人數,公立大學進修學士班人數,私立大學日間部人數,私立大學進修學士班人數,公立二專日間部人數,公立二專進修(夜間)部人數,私立二專日間部人數,私立二專進修(夜間)部人數,警察大學人數,警察專科學校人數,軍事院校人數,赴國外_大陸就讀人數,其他學校人數,升學率,公立大學日間部比率,公立大學進修學士班比率,私立大學日間部比率,私立大學進修學士班比率,公立二專日間部比率,公立二專進修(夜間)部比率,私立二專日間部比率,私立二專進修(夜間)部比率,警察大學比率,警察專科學校比率,軍事院校比率,赴國外_大陸就讀比率,其他學校比率
國立,專業群科,食品群,1086,285,58,481,23,2,0,1,0,0,0,18,0,0,79.93,26.24,5.34,44.29,2.12,0.18,0,0.09,0,0,0,1.66,0,0
國立,專業群科,家政群,976,147,14,638,26,13,0,4,2,0,0,8,1,0,87.4,15.06,1.43,65.37,2.66,1.33,0,0.41,0.2,0,0,0.82,0.1,0
國立,專業群科,餐旅群,1233,298,43,619,28,3,0,1,0,0,0,10,3,0,81.51,24.17,3.49,50.2,2.27,0.24,0,0.08,0,0,0,0.81,0.24,0
國立,專業群科,水產群,205,98,5,24,1,0,0,0,0,0,0,3,0,0,63.9,47.8,2.44,11.71,0.49,0,0,0,0,0,0,1.46,0,0
國立,專業群科,海事群,288,91,5,34,2,4,0,0,0,0,0,13,0,0,51.74,31.6,1.74,11.81,0.69,1.39,0,0,0,0,0,4.51,0,0
國立,專業群科,藝術群,151,87,1,41,0,0,0,0,0,0,0,0,0,0,85.43,57.62,0.66,27.15,0,0,0,0,0,0,0,0,0,0
國立,專業群科,服務群,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
國立,專業群科,其他(綜合),630,1,2,85,13,2,0,0,3,0,0,0,0,0,16.83,0.16,0.32,13.49,2.06,0.32,0,0,0.48,0,0,0,0,0
國立,綜合高中,學術學程,3346,739,27,2126,35,0,0,0,0,0,20,52,53,0,91.21,22.09,0.81,63.54,1.05,0,0,0,0,0,0.6,1.55,1.58,0
國立,綜合高中,機械群,108,34,0,56,2,0,0,0,0,0,0,1,0,0,86.11,31.48,0,51.85,1.85,0,0,0,0,0,0,0.93,0,0
國立,綜合高中,動力機械群,12,0,5,3,0,0,0,0,0,0,0,1,0,0,75,0,41.67,25,0,0,0,0,0,0,0,8.33,0,0
國立,綜合高中,電機與電子群,139,55,0,66,0,0,0,0,0,0,0,0,0,0,87.05,39.57,0,47.48,0,0,0,0,0,0,0,0,0,0
