設立別,學程別,群科別,畢業生人數,就農_林_漁_牧業人數,就礦業及土石採取業人數,就製造業人數,就電力及燃氣供應業人數,就用水供應及污染整治業人數,就營造業人數,就批發及零售業人數,就運輸及倉儲業人數,就住宿及餐飲業人數,就資訊及通訊傳播業人數,就金融及保險業人數,就不動產業人數,就專業_科學及技術服務業人數,就支援服務業人數,就公共行政及國防；強制性社會安全人數,就教育服務業人數,就醫療保健及社會工作服務業人數,就藝術_娛樂及休閒服務業人數,就其他服務業人數,就業率,就農_林_漁_牧業比率,就礦業及土石採取業比率,就製造業比率,就電力及燃氣供應業比率,就用水供應及污染整治業比率,就營造業比率,就批發及零售業比率,就運輸及倉儲業比率,就住宿及餐飲業比率,就資訊及通訊傳播業比率,就金融及保險業比率,就不動產業比率,就專業_科學及技術服務業比率,就支援服務業比率,就公共行政及國防；強制性社會安全比率,就教育服務業比率,就醫療保健及社會工作服務業比率,就藝術_娛樂及休閒服務業比率,就其他服務業比率
私立,職業科,設計群,6484,4,0,22,0,1,10,41,10,87,7,0,1,40,9,35,6,1,53,85,6.35,0.06,0,0.34,0,0.02,0.15,0.63,0.15,1.34,0.11,0,0.02,0.62,0.14,0.54,0.09,0.02,0.82,1.31
私立,職業科,家政群,6950,28,3,44,4,1,3,77,9,198,19,4,4,517,32,33,12,18,114,702,26.22,0.4,0.04,0.63,0.06,0.01,0.04,1.11,0.13,2.85,0.27,0.06,0.06,7.44,0.46,0.47,0.17,0.26,1.64,10.1
私立,職業科,餐旅群,18903,68,11,259,23,3,81,286,46,2403,19,15,3,96,70,126,6,18,143,504,22.11,0.36,0.06,1.37,0.12,0.02,0.43,1.51,0.24,12.71,0.1,0.08,0.02,0.51,0.37,0.67,0.03,0.1,0.76,2.67
私立,職業科,海事群,50,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
私立,職業科,藝術群,2382,7,0,13,0,0,7,26,3,68,0,3,0,1,7,7,1,1,79,63,12.01,0.29,0,0.55,0,0,0.29,1.09,0.13,2.85,0,0.13,0,0.04,0.29,0.29,0.04,0.04,3.32,2.64
私立,職業科,綜合,418,6,2,25,0,0,8,20,1,44,0,0,0,13,45,0,2,2,14,54,56.46,1.44,0.48,5.98,0,0,1.91,4.78,0.24,10.53,0,0,0,3.11,10.77,0,0.48,0.48,3.35,12.92
私立,綜合高中,,2151,2,0,0,0,0,0,7,0,6,0,0,0,1,4,6,0,0,0,5,1.4411901441,0.0929800093,0,0,0,0,0,0.3254300325,0,0.2789400279,0,0,0,0.0464900046,0.1859600186,0.2789400279,0,0,0,0.2324500232
私立,綜合高中,機械群,71,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19,29.58,0,0,1.41,0,0,1.41,0,0,0,0,0,0,0,0,0,0,0,0,26.76
私立,綜合高中,動力機械群,97,0,0,6,0,0,9,0,0,4,0,0,0,5,0,0,0,0,0,3,27.84,0,0,6.19,0,0,9.28,0,0,4.12,0,0,0,5.15,0,0,0,0,0,3.09
私立,綜合高中,電機與電子群,1311,3,0,18,4,1,3,3,9,14,4,0,0,0,2,39,0,0,3,14,8.92,0.23,0,1.37,0.31,0.08,0.23,0.23,0.69,1.07,0.31,0,0,0,0.15,2.97,0,0,0.23,1.07
私立,綜合高中,化工群,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
