設立別,學程別,群科別,畢業生人數,公立大學日間部人數,公立大學進修學士班人數,私立大學日間部人數,私立大學進修學士班人數,公立二專日間部人數,公立二專進修(夜間)部人數,私立二專日間部人數,私立二專進修(夜間)部人數,警察大學人數,警察專科學校人數,軍事院校人數,赴國外_大陸就讀人數,其他學校人數,"升學率
",公立大學日間部比率,公立大學進修學士班比率,私立大學日間部比率,私立大學進修學士班比率,公立二專日間部比率,公立二專進修(夜間)部比率,私立二專日間部比率,私立二專進修(夜間)部比率,警察大學比率,警察專科學校比率,軍事院校比率,赴國外_大陸就讀比率,其他學校比率
私立,實用技能學程,餐旅群,3354,36,92,1054,299,5,11,5,55,5,0,8,0,12,47.17,1.07,2.74,31.43,8.91,0.15,0.33,0.15,1.64,0.15,0,0.24,0,0.36
私立,實用技能學程,美容造型群,1059,11,24,254,109,1,15,0,14,0,0,4,0,5,41.27,1.04,2.27,23.98,10.29,0.09,1.42,0,1.32,0,0,0.38,0,0.47
私立,進修部(學校),普通科,288,33,4,44,18,0,0,0,0,0,0,12,1,0,38.89,11.46,1.39,15.28,6.25,0,0,0,0,0,0,4.17,0.35,0
私立,進修部(學校),機械群,134,1,2,6,18,0,0,0,0,0,0,1,0,0,20.9,0.75,1.49,4.48,13.43,0,0,0,0,0,0,0.75,0,0
私立,進修部(學校),動力機械群,670,2,8,11,71,1,1,0,13,0,1,0,0,1,16.27,0.3,1.19,1.64,10.6,0.15,0.15,0,1.94,0,0.15,0,0,0.15
私立,進修部(學校),電機與電子群,583,0,15,13,61,2,0,0,23,0,0,1,1,1,20.07,0,2.57,2.23,10.46,0.34,0,0,3.95,0,0,0.17,0.17,0.17
私立,進修部(學校),商業與管理群,1685,5,18,111,239,2,14,12,39,0,0,3,0,1,26.35,0.3,1.07,6.59,14.18,0.12,0.83,0.71,2.31,0,0,0.18,0,0.06
私立,進修部(學校),外語群,233,0,8,24,44,0,1,0,6,0,0,0,2,1,36.91,0,3.43,10.3,18.88,0,0.43,0,2.58,0,0,0,0.86,0.43
私立,進修部(學校),設計群,373,1,4,16,69,1,3,2,19,0,0,0,1,0,31.1,0.27,1.07,4.29,18.5,0.27,0.8,0.54,5.09,0,0,0,0.27,0
私立,進修部(學校),家政群,1420,5,7,81,124,0,18,3,96,3,1,0,0,7,24.3,0.35,0.49,5.7,8.73,0,1.27,0.21,6.76,0.21,0.07,0,0,0.49
私立,進修部(學校),餐旅群,4114,4,17,159,455,7,18,28,90,2,1,9,3,34,20.1,0.1,0.41,3.86,11.06,0.17,0.44,0.68,2.19,0.05,0.02,0.22,0.07,0.83
私立,進修部(學校),藝術群,132,2,0,4,27,0,0,0,0,0,0,0,0,0,25,1.52,0,3.03,20.45,0,0,0,0,0,0,0,0,0
